Category,Name,Price,Rating,Reviews,URL,Price_Clean,Rating_Clean,Reviews_Clean,Price_per_Review,High_Rating_Flag,Price_Category
Mouse,Xiaomi MIIIW Lite Wireless Mute Mouse 800/1200/1600DPI Multi-speed 2.4GHz Wireless Receiver Silent Mice,US$11.99,,7 reviews,https://www.banggood.com/Xiaomi-MIIIW-Lite-Wireless-Mute-Mouse-800-or-1200-or-1600DPI-Multi-speed-2_4GHz-Wireless-Receiver-Silent-Mice-p-2025592.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,11.99,,7,1.49875,0,Cheap
Mouse,HXSJ T90 2.4G Triple Mode Wireless Mouse 800-3600DPI Adjustable RGB Backlight 750mAh Type-C Rechargeable Gamer Mouse,US$12.99,,64 reviews,https://www.banggood.com/HXSJ-T90-2_4G-Triple-Mode-Wireless-Mouse-800-3600DPI-Adjustable-RGB-Backlight-750mAh-Type-C-Rechargeable-Gamer-Mouse-p-1988878.html?cur_warehouse=CN&ID=6323085&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,12.99,,64,0.19984615384615384,0,Cheap
Mouse,Dual Mode BT3.0/5.2 2.4G Wireless Mouse Adjustable 800-1600DPI Rechargeable LED Light Silent Mice for Laptop PC,US$5.99,,331 reviews,https://www.banggood.com/Dual-Mode-BT3_0-or-5_2-2_4G-Wireless-Mouse-Adjustable-800-1600DPI-Rechargeable-LED-Light-Silent-Mice-for-Laptop-PC-p-1968516.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,5.99,,331,0.018042168674698794,0,Cheap
Mouse,RAPOO VT9PRO Dual Mode Wireless Gaming Mouse PAW3398 26000DPI 2.4G Wireless/USB Wired E-Sport Gamer Mice Support 4KHz Return Rate 68G Lightweight,US$31.99,,2 reviews,https://www.banggood.com/RAPOO-VT9PRO-Dual-Mode-Wireless-Gaming-Mouse-PAW3398-26000DPI-2_4G-Wireless-or-USB-Wired-E-Sport-Gamer-Mice-Support-4KHz-Return-Rate-68G-Lightweight-p-2015439.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,31.99,,2,10.663333333333332,0,Moderate
Mouse,HXSJ T69 2.4G Wireless Gaming Mouse with RGB Lighting 1000-4800DPI Type-C Rechargeable 650mAh 8 Button Mouse for PC Gaming Office Working,US$12.99,,19 reviews,https://www.banggood.com/HXSJ-T69-2_4G-Wireless-Gaming-Mouse-with-RGB-Lighting-1000-4800DPI-Type-C-Rechargeable-650mAh-8-Button-Mouse-for-PC-Gaming-Office-Working-p-1988888.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,12.99,,19,0.6495,0,Cheap
Mouse,Dual Mode BT3.0/5.2 2.4G Wireless Mouse Adjustable 800-1600DPI bluetooth Rechargeable Silent Mice for Laptop PC,US$7.99,,42 reviews,https://www.banggood.com/Dual-Mode-BT3_0-or-5_2-2_4G-Wireless-Mouse-Adjustable-800-1600DPI-bluetooth-Rechargeable-Silent-Mice-for-Laptop-PC-p-1974243.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,7.99,,42,0.1858139534883721,0,Cheap
Mouse,UGREEN MU102 Wireless bluetooth Mouse 4000DPI Rechargeable Dual Mode Silent Buttons Mice for PC Laptop Computer,US$17.99,,0 review,https://www.banggood.com/UGREEN-MU102-Wireless-bluetooth-Mouse-4000DPI-Rechargeable-Dual-Mode-Silent-Buttons-Mice-for-PC-Laptop-Computer-p-2022367.html?cur_warehouse=CN&ID=6287840&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,17.99,,0,17.99,0,Cheap
Mouse,VGN Dragonfly F1 MOBA Gaming Mouse Dual Mode PAW3395 Sensor Nordic Chip 26000DPI 130H Playback 49g Lightweight 2.4GHz/Wired E-sports Gamer Mice,US$59.99,,0 review,https://www.banggood.com/VGN-Dragonfly-F1-MOBA-Gaming-Mouse-Dual-Mode-PAW3395-Sensor-Nordic-Chip-26000DPI-130H-Playback-49g-Lightweight-2_4GHz-or-Wired-E-sports-Gamer-Mice-p-2027378.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,59.99,,0,59.99,0,Expensive
Mouse,EWEADN G5 Wired Gaming Mouse RGB Light 12800DPI Full Key Macro Programming E-Sports Gamer Mice,US$17.99,,1 review,https://www.banggood.com/EWEADN-G5-Wired-Gaming-Mouse-RGB-Light-12800DPI-Full-Key-Macro-Programming-E-Sports-Gamer-Mice-p-2027371.html?cur_warehouse=CN&ID=62878326330532&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,17.99,,1,8.995,0,Cheap
Mouse,MCHOSE A7 V2 Ultra Tri-mode Gaming Mouse PAW3950 TI Flagship Sensor 42000DPI TOPSPEED WIRELESS Low Latency Technology Dual 8K Return Rate 500mAh E-sports 2.4G/bluetooth/Wired Mice 59g Lightweight,US$89.99,,0 review,https://www.banggood.com/MCHOSE-A7-V2-Ultra-Tri-mode-Gaming-Mouse-PAW3950-TI-Flagship-Sensor-42000DPI-TOPSPEED-WIRELESS-Low-Latency-Technology-Dual-8K-Return-Rate-500mAh-E-sports-2_4G-or-bluetooth-or-Wired-Mice-59g-Lightweight-p-2044122.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,89.99,,0,89.99,0,Expensive
